,session,type,outcome,sponsor_count,section_count,word_count
BILLS-115hr1109eh,115,hr,eh,0,3,328
BILLS-115hr1109enr,115,hr,enr,0,4,486
BILLS-115hr1109ih,115,hr,ih,5,3,345
BILLS-115hr1109rfs,115,hr,rfs,0,3,336
BILLS-115hr1109rh,115,hr,rh,9,3,436
BILLS-115hr1109rs,115,hr,rs,1,5,764
BILLS-115hr110ih,115,hr,ih,1,2,201
BILLS-115hr1110ih,115,hr,ih,6,2,232
BILLS-115hr1111ih,115,hr,ih,28,21,6855
BILLS-115hr1112ih,115,hr,ih,12,2,347
BILLS-115hr1113ih,115,hr,ih,1,3,606
BILLS-115hr1114ih,115,hr,ih,24,7,2102
BILLS-115hr1115ih,115,hr,ih,3,2,506
BILLS-115hr1116eh,115,hr,eh,0,3,926
BILLS-115hr1116ih,115,hr,ih,9,2,895
BILLS-115hr1116rfs,115,hr,rfs,0,3,916
BILLS-115hr1116rh,115,hr,rh,86,2,1193
BILLS-115hr1117eh,115,hr,eh,0,1,334
BILLS-115hr1117enr,115,hr,enr,0,1,330
BILLS-115hr1117ih,115,hr,ih,1,1,341
BILLS-115hr1117rfs,115,hr,rfs,0,1,321
BILLS-115hr1117rh,115,hr,rh,1,1,477
BILLS-115hr1117rs,115,hr,rs,1,1,377
BILLS-115hr1118ih,115,hr,ih,3,3,765
BILLS-115hr1119eh,115,hr,eh,0,2,831
BILLS-115hr1119ih,115,hr,ih,5,2,1409
BILLS-115hr1119rfs,115,hr,rfs,0,2,815
BILLS-115hr1119rh,115,hr,rh,6,2,1050
BILLS-115hr111ih,115,hr,ih,3,2,823
BILLS-115hr1120ih,115,hr,ih,17,34,8334
BILLS-115hr1121ih,115,hr,ih,43,6,3980
BILLS-115hr1122ih,115,hr,ih,2,2,1604
BILLS-115hr1123ih,115,hr,ih,4,4,395
BILLS-115hr1124ih,115,hr,ih,2,2,346
BILLS-115hr1125ih,115,hr,ih,1,5,1449
BILLS-115hr1126ih,115,hr,ih,5,2,292
BILLS-115hr1127ih,115,hr,ih,1,9,3977
BILLS-115hr1128ih,115,hr,ih,5,2,254
BILLS-115hr1129ih,115,hr,ih,2,3,1162
BILLS-115hr112ih,115,hr,ih,10,2,385
BILLS-115hr1130ih,115,hr,ih,15,2,801
BILLS-115hr1131ih,115,hr,ih,13,3,650
BILLS-115hr1132eh,115,hr,eh,0,2,1147
BILLS-115hr1132ih,115,hr,ih,3,2,552
BILLS-115hr1132rfs,115,hr,rfs,0,2,1133
BILLS-115hr1132rh,115,hr,rh,4,2,1228
BILLS-115hr1132rs,115,hr,rs,1,3,2402
BILLS-115hr1133eh,115,hr,eh,0,2,425
BILLS-115hr1133ih,115,hr,ih,47,2,614
BILLS-115hr1133rfs,115,hr,rfs,0,2,399
BILLS-115hr1133rh,115,hr,rh,79,2,861
BILLS-115hr1134ih,115,hr,ih,115,7,4919
BILLS-115hr1135eh,115,hr,eh,0,1,138
BILLS-115hr1135ih,115,hr,ih,47,1,283
BILLS-115hr1135rfs,115,hr,rfs,0,1,144
BILLS-115hr1135rh,115,hr,rh,48,1,368
BILLS-115hr1135rs,115,hr,rs,1,1,181
BILLS-115hr1136ih,115,hr,ih,2,4,1488
BILLS-115hr1137ih,115,hr,ih,3,2,489
BILLS-115hr1138ih,115,hr,ih,4,2,420
BILLS-115hr1139ih,115,hr,ih,1,2,320
BILLS-115hr113ih,115,hr,ih,2,3,412
BILLS-115hr1140ih,115,hr,ih,1,5,1064
BILLS-115hr1141ih,115,hr,ih,2,3,649
BILLS-115hr1142ih,115,hr,ih,3,5,1062
BILLS-115hr1143ih,115,hr,ih,6,2,1101
BILLS-115hr1144ih,115,hr,ih,18,4,2917
BILLS-115hr1145ih,115,hr,ih,2,2,334
BILLS-115hr1146ih,115,hr,ih,1,4,1288
BILLS-115hr1147ih,115,hr,ih,2,2,482
BILLS-115hr1148ih,115,hr,ih,12,2,540
BILLS-115hr1148rh,115,hr,rh,179,2,1255
BILLS-115hr1149ih,115,hr,ih,8,7,1411
BILLS-115hr114ih,115,hr,ih,1,2,195
BILLS-115hr1150ih,115,hr,ih,2,2,194
BILLS-115hr1151ih,115,hr,ih,1,2,489
BILLS-115hr1152ih,115,hr,ih,3,6,1625
BILLS-115hr1153eh,115,hr,eh,0,3,421
BILLS-115hr1153ih,115,hr,ih,6,3,445
BILLS-115hr1153rfs,115,hr,rfs,0,3,415
BILLS-115hr1153rh,115,hr,rh,18,3,569
BILLS-115hr1154ih,115,hr,ih,15,12,5221
BILLS-115hr1155ih,115,hr,ih,2,1,480
BILLS-115hr1156ih,115,hr,ih,37,2,359
BILLS-115hr1157ih,115,hr,ih,1,1,181
BILLS-115hr1157rh,115,hr,rh,1,1,271
BILLS-115hr1158ih,115,hr,ih,18,6,1197
BILLS-115hr1159eh,115,hr,eh,0,3,426
BILLS-115hr1159ih,115,hr,ih,4,3,424
BILLS-115hr1159rfs,115,hr,rfs,0,3,420
BILLS-115hr115eh,115,hr,eh,0,2,292
BILLS-115hr115ih,115,hr,ih,1,2,293
BILLS-115hr115rfs,115,hr,rfs,0,2,281
BILLS-115hr115rh,115,hr,rh,22,2,485
BILLS-115hr1160ih,115,hr,ih,3,2,310
BILLS-115hr1161ih,115,hr,ih,6,2,269
BILLS-115hr1162eh,115,hr,eh,1,3,488
BILLS-115hr1162enr,115,hr,enr,1,3,489
BILLS-115hr1162ih,115,hr,ih,52,3,631
BILLS-115hr1162rfs,115,hr,rfs,1,3,477
BILLS-115hr1162rh,115,hr,rh,57,3,750
BILLS-115hr1163ih,115,hr,ih,3,2,322
BILLS-115hr1164eh,115,hr,eh,0,7,1973
BILLS-115hr1164ih,115,hr,ih,2,3,384
BILLS-115hr1164pcs,115,hr,pcs,0,7,2013
BILLS-115hr1165ih,115,hr,ih,1,2,311
BILLS-115hr1166ih,115,hr,ih,1,2,194
BILLS-115hr1167ih,115,hr,ih,3,2,1621
BILLS-115hr1168ih,115,hr,ih,13,4,424
BILLS-115hr1169ih,115,hr,ih,25,3,372
BILLS-115hr116ih,115,hr,ih,1,2,623
BILLS-115hr1170ih,115,hr,ih,5,3,477
BILLS-115hr1171ih,115,hr,ih,30,2,364
BILLS-115hr1172ih,115,hr,ih,31,7,2330
